source,target,length,capacity
Duesseldorf,Essen,40.0,3290.0
Dortmund,Essen,40.0,3290.0
Wesel,Essen,40.0,3290.0
Koeln,Duesseldorf,40.0,3290.0
Aachen,Koeln,40.0,3290.0
Koblenz,Koeln,40.0,3290.0
Muenster,Dortmund,40.0,3290.0
Siegen,Dortmund,40.0,3720.0
Kassel,Dortmund,40.0,3720.0
Wesel,Aachen,40.0,3720.0
Trier,Aachen,40.0,3720.0
Bielefeld,Muenster,40.0,3290.0
Osnabrueck,Muenster,40.0,3290.0
Siegen,Koblenz,40.0,3290.0
Frankfurt,Koblenz,40.0,3720.0
Kaiserslautern,Koblenz,40.0,3720.0
Trier,Koblenz,40.0,3720.0
Bielefeld,Siegen,40.0,3720.0
Giessen,Siegen,40.0,3290.0
Oldenburg,Wesel,40.0,4150.0
Norden,Wesel,40.0,4150.0
Leipzig,Berlin,40.0,3720.0
Dresden,Berlin,40.0,4150.0
Schwerin,Berlin,40.0,4150.0
Magdeburg,Berlin,40.0,3720.0
Greifswald,Berlin,40.0,4150.0
Dresden,Leipzig,40.0,3720.0
Erfurt,Leipzig,40.0,3720.0
Magdeburg,Leipzig,40.0,3720.0
Bayreuth,Leipzig,40.0,4150.0
Erfurt,Dresden,40.0,4150.0
Chemnitz,Dresden,40.0,3290.0
Chemnitz,Erfurt,40.0,3720.0
Kassel,Erfurt,40.0,3720.0
Wuerzburg,Erfurt,40.0,3720.0
Bayreuth,Chemnitz,40.0,3720.0
Magdeburg,Schwerin,40.0,4150.0
Greifswald,Schwerin,40.0,3720.0
Hamburg,Schwerin,40.0,3720.0
Kiel,Schwerin,40.0,3720.0
Braunschweig,Magdeburg,40.0,3290.0
Kiel,Hamburg,40.0,3720.0
Hannover,Hamburg,40.0,3720.0
Braunschweig,Hamburg,40.0,3720.0
Oldenburg,Bremen,40.0,3290.0
Bremerhaven,Bremen,40.0,3290.0
Hannover,Bremen,40.0,3290.0
Flensburg,Kiel,40.0,3290.0
Norden,Oldenburg,40.0,3720.0
Osnabrueck,Oldenburg,40.0,3720.0
Bremerhaven,Flensburg,40.0,3720.0
Bielefeld,Hannover,40.0,3720.0
Braunschweig,Hannover,40.0,3720.0
Osnabrueck,Hannover,40.0,3720.0
Braunschweig,Bielefeld,40.0,3720.0
Kassel,Braunschweig,40.0,3720.0
Giessen,Kassel,40.0,3720.0
Fulda,Kassel,40.0,3720.0
Darmstadt,Frankfurt,40.0,3290.0
Giessen,Frankfurt,40.0,3290.0
Fulda,Frankfurt,40.0,3720.0
Mannheim,Darmstadt,40.0,3290.0
Kaiserslautern,Darmstadt,40.0,3720.0
Karlsruhe,Mannheim,40.0,3290.0
Saarbruecken,Kaiserslautern,40.0,3290.0
Karlsruhe,Kaiserslautern,40.0,3290.0
Fulda,Giessen,40.0,3290.0
Saarbruecken,Trier,40.0,3290.0
Wuerzburg,Fulda,40.0,3720.0
Karlsruhe,Saarbruecken,40.0,3720.0
Karlsruhe,Stuttgart,40.0,3290.0
Ulm,Stuttgart,40.0,3290.0
Konstanz,Stuttgart,40.0,3720.0
Wuerzburg,Stuttgart,40.0,3720.0
Freiburg,Karlsruhe,40.0,3720.0
Augsburg,Ulm,40.0,3290.0
Freiburg,Konstanz,40.0,3720.0
Kempten,Konstanz,40.0,3720.0
Augsburg,Muenchen,40.0,3290.0
Kempten,Muenchen,40.0,3720.0
Passau,Muenchen,40.0,3720.0
Nuernberg,Muenchen,40.0,3720.0
Regensburg,Muenchen,40.0,3720.0
Wuerzburg,Augsburg,40.0,4150.0
Regensburg,Passau,40.0,3720.0
Bayreuth,Nuernberg,40.0,3290.0
Wuerzburg,Nuernberg,40.0,3720.0
Regensburg,Nuernberg,40.0,3720.0
