source,target,length,capacity
Amsterdam,Brussels,2.59,7560.0
Amsterdam,Glasgow,10.67,7560.0
Amsterdam,Hamburg,5.52,7560.0
Amsterdam,London,5.4,7560.0
Athens,Palermo,13.63,7560.0
Athens,Sofia,7.94,7560.0
Athens,Zagreb,15.0,7560.0
Barcelona,Madrid,7.6,7560.0
Barcelona,Marseille,5.08,7560.0
Barcelona,Seville,12.44,7560.0
Belgrade,Budapest,4.74,7560.0
Belgrade,Sofia,4.87,7560.0
Belgrade,Zagreb,5.51,7560.0
Berlin,Copenhagen,5.4,7560.0
Berlin,Hamburg,3.81,7560.0
Berlin,Munich,7.57,7560.0
Berlin,Prague,4.2,7560.0
Berlin,Warsaw,7.75,7560.0
Birmingham,Glasgow,6.1,7560.0
Birmingham,London,2.39,7560.0
Bordeaux,Madrid,8.34,7560.0
Bordeaux,Marseille,7.56,7560.0
Bordeaux,Paris,7.47,7560.0
Brussels,Dusseldorf,2.64,7560.0
Brussels,Paris,3.93,7560.0
Budapest,Krakow,4.36,7560.0
Budapest,Prague,6.68,7560.0
Copenhagen,Oslo,7.22,7560.0
Copenhagen,Stockholm,7.77,7560.0
Dublin,Glasgow,4.62,7560.0
Dublin,London,6.9,7560.0
Dusseldorf,Frankfurt,2.75,7560.0
Frankfurt,Hamburg,5.92,7560.0
Frankfurt,Munich,4.56,7560.0
Frankfurt,Strasbourg,2.71,7560.0
Helsinki,Oslo,11.82,7560.0
Helsinki,Stockholm,5.97,7560.0
Helsinki,Warsaw,13.7,7560.0
Krakow,Warsaw,3.83,7560.0
Lisbon,London,19.77,7560.0
Lisbon,Madrid,7.51,7560.0
Lisbon,Seville,4.71,7560.0
London,Paris,5.14,7560.0
Lyon,Marseille,4.11,7560.0
Lyon,Paris,5.94,7560.0
Lyon,Zurich,5.07,7560.0
Marseille,Rome,9.07,7560.0
Milan,Munich,5.22,7560.0
Milan,Rome,7.2,7560.0
Milan,Zurich,3.27,7560.0
Munich,Vienna,5.34,7560.0
Palermo,Rome,6.38,7560.0
Paris,Strasbourg,6.0,7560.0
Prague,Vienna,3.76,7560.0
Rome,Zagreb,7.83,7560.0
Strasbourg,Zurich,2.18,7560.0
Vienna,Zagreb,4.0,7560.0
