source,destination,bitrate
3,28,100
31,15,200
7,3,400
26,28,400
18,4,100
13,18,400
23,28,400
16,19,50
3,20,50
36,30,200
5,28,100
35,2,400
24,28,50
17,13,50
19,5,200
27,33,400
14,12,100
2,17,50
16,4,100
11,8,200
16,33,400
25,22,100
30,27,400
30,14,100
8,25,50
29,7,50
28,29,200
26,16,400
20,16,200
5,1,50
15,24,100
20,30,400
20,23,200
3,20,100
1,21,100
7,35,100
31,35,50
29,2,100
10,33,200
4,20,400
24,35,100
30,15,50
0,12,50
27,26,100
25,5,200
5,33,200
16,17,100
8,11,200
21,13,50
4,12,400
33,13,200
16,9,400
28,9,200
28,16,100
3,2,400
4,16,50
25,11,200
6,19,400
28,0,200
15,23,200
21,5,200
22,3,100
1,28,100
6,12,50
3,24,200
6,28,400
21,35,100
21,22,50
35,5,100
28,16,50
9,18,100
34,15,200
19,17,100
34,12,200
16,30,50
30,13,400
5,19,200
11,4,200
10,4,200
26,36,400
11,3,400
8,35,50
5,20,100
30,11,400
11,34,400
22,10,200
32,9,400
6,36,50
10,16,400
32,5,200
32,30,400
19,4,100
28,0,200
14,13,50
27,26,100
0,34,50
4,1,400
32,5,50
13,22,400
7,1,100
28,35,400
18,17,50
0,33,50
4,10,200
4,34,200
33,25,200
15,7,400
26,0,200
4,29,50
34,20,100
11,35,100
24,18,400
18,10,400
17,0,200
5,23,50
26,5,100
35,0,200
6,34,400
15,17,400
30,0,50
30,10,400
8,16,200
27,22,400
22,27,100
4,13,100
4,24,400
9,16,50
9,8,200
30,36,50
2,31,200
5,12,400
11,36,50
32,34,50
5,10,50
16,4,50
2,25,50
1,29,200
18,25,100
29,11,200
26,32,400
1,19,50
8,32,50
23,21,100
1,10,100
33,19,50
30,3,50
14,34,50
30,31,400
36,8,400
20,28,200
22,28,50
19,29,200
34,31,100
28,14,200
9,8,50
17,15,100
8,21,100
18,13,100
14,15,200
8,10,400
24,33,100
12,27,200
31,34,200
7,29,200
23,27,100
27,6,50
21,25,400
33,4,200
22,3,200
20,3,400
26,5,400
29,6,200
16,28,400
35,33,100
21,25,50
22,18,50
20,4,200
17,36,200
26,28,400
36,18,200
5,34,50
28,4,50
17,24,100
28,33,200
26,12,400
29,28,100
28,13,100
11,5,50
3,34,100
14,26,200
6,20,400
12,28,100
5,13,400
0,26,400
4,15,400
23,31,50
21,17,200
0,19,100
30,26,100
16,34,100
0,11,400
26,28,50
36,14,400
24,10,400
1,3,400
24,0,200
22,3,400
1,31,50
16,5,400
7,29,400
10,24,50
36,0,50
29,22,400
8,34,400
8,2,400
36,34,400
30,25,400
1,16,50
4,36,200
19,27,200
31,3,50
27,29,50
10,0,200
18,36,200
2,18,200
1,0,400
26,16,50
13,3,50
13,36,100
29,19,200
21,31,50
8,35,100
15,21,200
24,9,400
36,5,200
24,14,100
4,36,50
10,34,100
22,15,200
14,23,100
5,15,50
34,21,100
1,33,100
36,17,50
21,3,200
21,25,200
21,24,100
29,8,200
7,15,200
18,13,200
29,27,400
4,34,200
19,26,400
8,11,400
18,13,50
2,36,400
2,29,100
12,20,50
11,26,200
0,32,400
31,25,100
5,25,200
24,4,100
35,18,400
28,16,100
25,27,200
27,14,200
12,0,50
19,27,50
6,25,400
33,36,200
7,31,400
23,5,100
14,30,50
27,30,100
17,36,50
6,11,400
33,1,50
10,6,100
35,21,100
3,0,50
30,31,200
24,20,200
28,36,50
26,13,200
31,12,400
11,17,400
31,24,200
33,15,200
31,4,100
20,18,200
3,18,100
35,33,200
6,14,100
7,11,50
21,34,100
11,15,200
0,20,100
6,26,200
25,36,200
31,17,400
23,33,200
10,35,400
32,16,50
18,27,100
23,20,200
35,15,400
5,10,200
34,27,100
4,0,50
18,28,100
31,36,100
36,11,100
2,29,50
7,20,400
34,9,400
1,8,100
1,34,50
33,24,200
28,23,400
27,26,400
13,1,50
23,3,400
15,0,200
9,25,50
27,14,400
24,21,50
14,31,100
28,31,100
21,25,100
4,10,400
31,6,50
12,24,200
15,29,400
22,10,100
5,19,200
6,36,200
22,26,100
33,17,100
4,12,100
36,2,50
0,19,100
34,23,100
16,15,400
34,27,200
10,35,400
13,8,100
33,32,200
27,35,200
24,22,100
8,30,100
5,6,400
10,0,200
9,29,400
22,16,100
34,36,200
9,30,400
29,9,50
20,6,50
24,15,400
28,18,100
5,1,400
3,26,50
1,9,50
16,35,200
11,28,50
30,4,100
27,2,200
16,7,100
14,17,100
0,5,50
31,14,50
18,3,100
12,1,100
28,19,400
9,19,100
21,8,100
25,31,50
12,26,400
1,17,100
26,31,50
1,21,50
33,0,50
33,6,50
5,4,200
8,17,200
8,21,400
0,17,400
22,19,50
32,28,400
9,10,400
20,16,200
36,32,100
30,26,100
29,19,200
10,8,100
22,11,50
31,1,100
13,0,50
23,26,200
10,27,100
32,4,200
8,4,50
25,24,50
18,28,400
9,0,50
19,36,200
13,4,400
32,3,200
23,5,100
1,25,200
10,4,200
30,35,50
22,1,50
30,32,100
36,22,200
18,14,200
19,26,200
9,28,400
5,15,200
0,33,400
19,12,100
33,3,400
14,23,200
5,16,400
9,6,50
33,31,400
7,8,100
31,27,400
14,23,200
3,27,200
19,28,200
15,3,400
25,32,400
3,18,50
27,15,50
7,36,100
28,26,400
22,14,100
12,22,200
15,13,200
20,34,100
7,2,100
13,14,50
6,11,200
12,1,400
9,26,50
17,27,400
10,12,50
6,35,200
17,2,100
1,4,100
35,3,200
24,18,50
9,8,100
28,11,400
33,27,400
36,22,400
2,21,50
11,33,200
15,3,400
22,26,200
6,18,100
5,16,400
13,21,200
26,10,100
14,30,400
28,1,50
34,21,50
8,33,50
9,13,400
22,6,100
16,2,50
26,31,400
20,32,100
19,36,50
9,11,50
34,1,400
28,0,200
18,10,200
14,19,100
4,13,50
35,6,100
35,30,50
13,20,50
5,9,50
4,13,400
0,11,200
2,17,100
19,36,50
36,30,400
27,29,100
30,5,400
24,12,50
12,33,400
36,23,400
22,29,50
7,34,100
10,23,50
36,19,100
2,31,100
4,28,50
23,28,100
5,34,100
14,26,100
10,24,200
2,17,400
18,12,50
3,25,400
21,1,100
10,33,200
36,9,200
24,27,100
13,35,100
27,26,100
20,32,200
21,18,400
15,11,200
14,12,100
36,16,50
3,29,200
4,24,200
10,0,100
7,28,400
33,31,50
24,32,50
31,10,50
36,10,200
32,33,50
34,20,200
27,35,200
9,26,200
2,11,400
14,18,200
19,0,100
25,32,200
16,13,400
31,30,100
30,20,100
15,23,100
9,29,400
36,34,400
36,33,200
28,35,400
3,17,100
25,8,200
10,22,100
21,16,100
10,8,400
10,31,50
0,13,100
29,16,400
8,5,400
4,21,100
36,16,50
5,34,100
14,22,400
10,36,50
33,5,400
10,8,400
24,8,50
25,30,50
5,15,200
18,8,200
24,28,400
36,0,200
3,36,200
36,4,100
17,10,100
1,7,200
13,27,400
24,30,400
15,33,100
8,27,400
18,6,400
9,5,400
3,32,50
19,11,50
1,18,50
3,16,400
1,3,200
30,26,50
5,0,400
9,30,200
30,16,50
15,14,200
9,21,400
7,18,400
17,25,100
14,8,50
23,27,50
3,27,50
6,5,400
2,14,400
30,5,200
6,16,100
6,32,400
32,34,50
8,22,200
10,34,200
0,20,200
30,13,200
16,0,50
22,33,100
9,22,100
28,9,400
20,12,100
10,27,200
11,5,200
23,25,50
0,13,50
21,33,200
28,6,400
3,17,100
34,30,50
7,12,200
7,16,200
0,7,50
7,14,100
6,18,50
31,23,100
13,12,50
13,18,100
22,33,50
32,28,400
25,3,50
4,1,200
4,14,400
27,34,400
19,24,400
1,15,100
11,2,400
3,21,400
33,6,400
11,18,100
10,35,100
28,14,200
16,4,100
7,36,50
32,28,200
20,13,100
15,36,200
13,34,400
26,14,100
9,16,200
17,13,200
20,12,100
12,34,100
3,19,50
18,26,100
31,7,200
27,36,100
18,30,400
22,6,200
35,1,400
14,30,400
33,21,50
22,1,200
20,32,50
27,12,400
18,8,100
16,0,400
33,12,400
35,13,200
2,10,50
28,15,100
19,7,400
2,35,400
30,6,200
34,32,100
3,4,400
17,18,200
22,36,200
32,15,100
15,4,50
29,31,400
2,10,100
32,26,50
33,19,100
15,25,50
24,22,100
22,28,50
20,17,200
7,33,50
6,20,100
6,3,400
14,7,400
36,14,50
20,24,400
23,31,100
15,4,50
19,7,400
17,35,50
7,26,100
33,18,50
11,34,400
4,32,50
0,30,50
19,25,400
31,20,100
28,16,50
35,6,100
28,7,100
35,7,50
32,24,200
30,19,400
31,22,400
22,4,400
20,10,200
33,34,400
15,26,100
16,36,100
13,10,100
4,3,50
20,28,100
6,34,200
1,3,50
7,30,400
8,29,200
23,34,400
1,8,50
12,5,50
7,5,200
33,13,200
23,36,50
18,29,200
23,31,400
12,4,50
8,16,100
22,34,100
28,11,200
15,6,100
24,6,200
5,16,50
27,26,50
25,34,50
29,3,100
36,19,200
16,33,400
3,17,100
33,15,50
21,26,50
25,23,50
36,21,100
33,17,100
25,2,400
25,23,400
15,32,200
6,31,200
12,10,200
28,24,400
25,13,100
30,22,200
27,1,100
19,7,200
4,12,50
23,13,200
8,33,100
4,20,400
5,28,50
10,14,200
6,32,400
6,26,50
27,13,100
5,28,100
11,8,50
25,20,200
2,5,100
8,28,200
30,3,100
30,15,50
13,12,50
17,8,100
25,8,400
11,6,100
4,13,100
25,11,100
32,8,400
34,2,100
23,22,400
36,22,200
15,32,400
29,18,100
27,3,50
17,20,100
15,17,200
27,20,400
35,4,50
29,7,400
27,36,400
32,4,100
4,14,100
29,22,400
15,12,200
10,22,50
8,7,50
22,35,100
30,2,200
24,7,50
8,30,100
33,36,50
10,25,400
15,8,100
12,35,100
0,15,100
25,9,400
21,28,100
26,30,50
24,0,200
13,36,50
7,36,200
26,29,50
14,5,200
13,5,50
6,7,100
15,17,400
18,23,200
36,4,100
14,23,400
2,9,200
3,27,50
17,14,50
36,6,100
10,8,400
7,33,400
22,9,100
9,4,50
0,34,100
8,33,400
14,22,50
3,5,200
28,15,50
14,33,400
31,8,50
18,1,400
11,19,200
19,28,50
28,4,400
3,26,100
32,2,200
27,35,400
5,27,100
15,4,50
11,18,200
18,21,100
29,36,400
28,9,200
25,10,200
6,28,400
35,16,200
33,29,400
13,14,200
17,23,400
7,3,100
32,22,100
18,29,100
36,21,400
11,28,400
12,7,200
10,24,400
0,34,50
26,33,200
18,21,50
16,12,400
27,1,100
14,34,50
12,27,100
32,18,200
32,26,50
36,19,400
28,9,50
1,14,400
26,15,200
13,27,200
17,3,100
23,2,50
0,32,400
2,12,200
5,4,400
6,33,400
29,12,50
7,10,50
4,6,50
36,2,50
1,4,400
21,26,400
23,1,400
23,11,200
26,33,100
12,25,100
6,2,400
9,28,50
27,9,400
24,12,200
23,31,50
28,31,100
8,27,200
33,23,100
21,35,100
20,12,200
22,16,200
4,33,200
22,24,200
21,2,100
15,1,50
8,35,100
29,27,50
36,30,200
1,28,100
18,19,200
25,34,100
34,19,200
27,35,50
14,19,100
34,18,100
20,17,400
18,16,50
8,15,50
21,0,100
13,28,200
1,25,200
5,35,400
6,34,200
12,7,200
15,11,400
8,5,400
18,34,400
31,17,400
29,8,100
12,9,100
22,21,400
36,0,200
12,23,400
34,14,50
13,19,400
8,11,100
36,8,400
33,36,400
9,34,100
20,22,200
6,18,200
14,15,200
12,29,100
4,18,50
19,31,100
8,2,400
20,35,50
11,35,50
9,24,100
2,24,50
33,21,50
31,0,50
22,18,100
16,24,50
16,29,400
4,0,50
33,21,200
24,5,50
24,29,200
7,22,400
31,18,100
33,17,100
26,8,50
13,3,200
0,12,100
23,19,200
22,28,400
26,7,50
31,17,200
9,25,50
31,8,100
15,5,50
5,30,400
15,7,400
0,19,400
18,35,50
31,28,400
33,7,400
6,20,50
31,2,200
22,33,100
22,21,50
23,27,50
27,25,400
18,17,200
19,11,400
27,4,100
6,34,50
26,17,400
27,18,50
34,31,100
7,31,50
22,21,400
9,4,200
23,36,50
16,3,200
12,30,50
14,17,400
5,10,100
0,31,200
