source,destination,bitrate
26,11,50
23,10,100
12,14,50
32,1,100
9,13,200
5,18,200
25,29,100
5,19,100
22,35,400
8,20,400
28,16,50
25,15,50
16,9,100
15,11,200
19,26,50
27,19,400
28,25,50
25,31,50
1,33,200
0,24,50
22,30,400
26,18,200
20,30,100
8,21,50
30,32,50
13,1,200
29,20,200
7,16,200
30,29,100
1,35,400
5,12,200
0,8,200
23,1,100
34,8,400
9,6,200
12,32,50
9,17,200
7,11,100
14,0,50
12,3,200
30,36,100
23,9,400
19,16,50
14,30,50
22,9,50
24,26,200
30,27,400
15,35,100
23,15,50
30,20,100
2,34,50
12,17,50
31,32,200
1,8,200
3,2,50
27,20,50
32,13,200
4,29,200
18,6,100
29,12,100
22,14,100
24,27,100
17,10,50
36,29,400
30,0,100
14,31,200
13,18,100
26,16,50
1,3,200
24,12,200
20,27,100
3,21,200
9,13,400
15,17,100
7,24,50
23,16,50
29,23,100
24,25,100
13,15,400
15,16,50
33,0,50
17,33,100
3,23,200
8,13,50
2,19,400
30,15,200
5,10,100
0,28,50
6,20,200
0,22,100
24,36,50
1,12,400
11,15,50
23,19,400
32,7,100
33,15,200
17,7,100
5,10,100
32,20,100
10,9,400
1,18,100
26,24,50
3,6,50
30,15,50
12,14,50
31,26,200
8,24,100
31,13,100
17,3,200
18,31,400
4,30,200
16,23,200
34,28,50
34,9,50
28,22,400
19,36,200
17,20,50
32,4,50
23,31,200
25,6,100
22,20,100
10,0,200
6,8,200
16,12,50
9,28,50
27,15,200
28,0,200
17,9,50
1,23,200
27,36,200
20,19,50
6,33,200
29,31,100
10,7,100
11,2,400
1,20,200
34,22,100
15,33,400
15,30,400
5,29,50
10,21,100
19,0,400
12,31,50
17,32,50
7,30,400
6,2,100
0,33,100
27,30,200
2,11,400
8,7,100
29,18,200
34,1,100
19,7,400
23,4,400
14,21,200
2,17,100
13,27,400
6,9,50
3,4,100
24,14,50
21,36,400
20,16,50
34,2,400
23,10,400
21,25,100
18,17,200
11,16,200
27,16,100
28,24,400
22,27,50
11,1,100
0,20,400
35,13,50
5,20,50
32,22,100
9,33,400
6,8,200
34,0,400
24,9,50
4,27,200
35,7,400
30,31,200
36,11,50
17,8,100
7,1,50
12,16,200
5,17,50
0,1,200
28,35,400
10,19,100
20,28,50
27,14,200
11,10,200
11,0,200
13,33,50
28,24,200
28,26,50
6,12,400
6,11,100
12,22,100
1,10,400
14,35,400
33,30,200
25,14,200
0,2,200
24,25,50
1,4,400
9,32,200
2,3,400
3,18,200
28,26,50
8,21,100
6,18,200
23,20,200
18,19,400
32,12,400
4,8,100
12,28,400
32,36,400
25,34,400
4,11,400
27,23,400
28,7,50
23,7,100
35,24,200
2,20,100
5,6,100
10,9,50
30,11,200
17,0,200
16,17,400
8,35,400
34,32,50
0,1,200
32,28,200
2,27,400
15,0,400
32,26,200
19,24,50
33,34,400
