source,destination,bitrate
22,35,50
39,15,100
42,37,100
40,0,200
43,35,50
20,13,400
34,12,50
47,27,100
23,25,100
39,0,400
2,3,100
24,30,400
6,19,50
32,7,50
29,31,100
9,40,400
32,12,100
23,3,200
49,42,200
37,23,50
46,10,400
0,3,100
41,38,50
14,21,200
5,9,50
20,3,50
2,4,100
29,47,50
30,36,400
9,19,200
33,5,50
44,33,400
20,2,50
31,9,100
41,11,50
25,37,100
44,6,50
13,28,400
23,16,400
6,43,50
44,20,50
21,39,50
8,42,100
33,24,50
24,14,400
9,19,100
39,21,200
14,35,50
32,3,100
5,32,100
15,49,200
4,26,100
46,35,50
20,12,400
17,43,50
19,4,100
33,19,400
41,6,50
3,15,200
37,49,200
14,9,100
27,38,400
12,38,400
19,23,100
46,11,100
3,8,400
18,32,100
40,27,100
20,28,200
1,27,200
25,13,100
45,12,50
15,49,400
39,21,50
3,5,100
42,6,100
39,36,100
32,13,400
13,36,200
46,32,200
6,4,200
10,18,50
24,9,200
47,3,400
42,15,50
10,21,50
49,36,50
35,15,400
39,31,50
36,48,400
5,38,50
22,20,100
34,32,100
37,7,50
14,20,100
42,8,100
44,45,200
16,27,50
7,29,100
37,13,400
10,4,200
4,10,400
12,13,400
19,12,100
5,28,50
28,27,200
12,41,100
18,35,100
13,6,50
4,23,200
24,2,100
42,11,100
39,47,400
31,26,200
15,41,100
48,9,50
42,13,50
46,43,50
13,25,200
11,41,200
17,13,50
43,3,400
1,43,50
46,32,200
49,39,50
13,23,400
22,34,400
49,24,50
39,20,50
38,27,200
14,34,200
49,17,400
13,48,400
14,19,50
5,42,200
7,24,400
47,16,200
47,46,200
22,7,400
9,17,100
10,5,200
5,30,100
13,9,400
13,21,400
30,39,200
37,27,200
40,8,50
43,42,400
42,29,400
29,19,400
42,8,200
27,18,100
41,34,50
12,27,200
2,18,50
41,36,200
0,44,400
25,40,50
15,40,400
3,44,400
25,46,400
4,41,200
13,39,200
37,13,100
49,43,50
40,25,400
1,12,200
46,8,400
48,34,50
2,26,400
37,5,400
47,2,50
4,6,400
29,41,400
10,3,200
5,28,50
9,32,200
41,14,50
6,0,50
11,15,200
45,28,100
45,31,100
45,6,50
14,30,50
31,25,50
34,37,200
1,32,100
24,18,50
24,5,50
20,6,100
28,2,400
14,20,50
33,49,100
27,34,50
9,45,100
23,20,400
42,28,50
30,9,200
28,45,50
47,44,50
21,27,50
44,39,50
12,22,400
22,15,50
29,48,200
40,49,100
15,31,200
5,3,400
5,44,400
0,49,50
37,13,200
19,34,50
21,25,50
40,41,100
0,5,50
19,4,200
23,41,200
39,27,200
15,2,50
47,34,200
40,28,100
38,36,400
21,3,100
28,38,100
20,45,50
22,18,200
3,26,50
9,18,200
22,10,200
49,28,50
12,30,200
33,16,100
10,25,50
11,47,200
39,43,200
0,16,100
48,38,100
17,22,200
38,48,50
28,31,50
18,10,400
36,6,400
7,3,100
36,29,200
2,35,400
24,36,400
45,17,200
48,39,400
3,42,200
8,0,400
45,24,100
