model,target,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
ExtraTrees,avgActiveTransceivers,2.655566666666666,0.2892978492065844,3.278885889172039,0.4126709655263953,0.6959705752646237,0.1605272529896369
HistGB,avgActiveTransceivers,3.356152325086802,0.4280739722303776,4.328775141194818,0.5710444472557534,0.4623825461313736,0.3613394887001134
RandomForest,avgActiveTransceivers,3.1883500000000002,0.5669557875178622,3.9416959049946896,0.825633782344263,0.5423494360814056,0.2777366914856793
ExtraTrees,avgHighestSlot,4.830548318214038,1.0208605095678287,5.951036737466341,1.0913804401993181,-0.13413414351384195,0.19051987525910985
HistGB,avgHighestSlot,5.679242801783204,0.9040389809487541,6.997629934063736,0.9194537170625893,-0.6340146566353585,0.49282472807558475
RandomForest,avgHighestSlot,5.624159184505773,1.093079420524496,6.922401917691337,1.0948936463856973,-0.5746606880484556,0.4075519141318365
ExtraTrees,highestSlot,9.004263536779543,1.3203891354451205,11.301065229526138,1.8141337105521975,-0.14767634603711055,0.1442646007172261
HistGB,highestSlot,9.9583458481898,1.2589882793332454,12.490127317074542,1.7330695983823632,-0.43661742151255767,0.3403301141364293
RandomForest,highestSlot,10.279788218720384,1.557510893150341,12.863063927867206,1.9830678836627533,-0.48564921181170917,0.15949738654459902
ExtraTrees,sumOfSlots,173.79913173848934,36.30078394238932,208.9743559700884,41.68551225786763,0.09953814211341669,0.24631293676148247
HistGB,sumOfSlots,212.2105558914971,21.323278389563182,255.79655537014582,26.496352258383336,-0.42662544556106735,0.5703866657295152
RandomForest,sumOfSlots,193.89443064193347,24.28889941631082,238.0344062301308,28.673206785990807,-0.21716097184488872,0.4031193413003081
