model,target,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
ExtraTrees,avgActiveTransceivers,2.5495533333333333,0.41741965619479116,3.1821324338342922,0.5060879547907502,0.7418500180987196,0.07868806368269295
HistGB,avgActiveTransceivers,3.1964775311526132,0.4651683573109792,3.9791219492298575,0.635565516066032,0.5934636409827098,0.14106353279963285
RandomForest,avgActiveTransceivers,2.7598600000000006,0.5078244680989678,3.443624075309197,0.5978699088856013,0.6900933100359077,0.12757575219377648
ExtraTrees,avgHighestSlot,5.658878534310986,0.9301751715010044,7.077343558862712,1.0998454031816447,0.009751527519265502,0.1808546818209981
HistGB,avgHighestSlot,5.79919813535746,0.8568362196204364,7.14665488337051,1.0418110091972577,-0.03314314855009993,0.2771085415531961
RandomForest,avgHighestSlot,6.349172481765789,0.9202621789360186,7.803421414025171,1.1593854023059549,-0.25873313787873914,0.4583822987635601
ExtraTrees,highestSlot,19.34036762687442,3.802563658619785,25.296227663381977,5.506098972387246,-0.10573934357681485,0.20914496880605682
HistGB,highestSlot,21.67594075418685,3.6872830762083453,27.779927652252585,5.0095269626066035,-0.36928251868789486,0.3357207706884722
RandomForest,highestSlot,21.811456028352286,4.02355613969134,28.44184611384744,5.85537027756687,-0.46457303223304763,0.5693019792620808
ExtraTrees,sumOfSlots,155.3737737803026,27.180247316561722,193.79243496390805,32.17121536406655,0.15160278660593865,0.1549869839768667
HistGB,sumOfSlots,167.1764922143188,26.59494045792496,208.6275413988304,32.44905160492502,0.0015399873597397229,0.24320905877344995
RandomForest,sumOfSlots,167.32804304658012,27.145591543778007,208.95878030464112,31.194056113731197,-0.018114193165297065,0.3048393011187212
